"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
276,"The Mummy",2017,80101125,329852780,409953905
277,"Kingsman: The Golden Circle",2017,100234838,308568858,408803696
278,"Signs",2002,227969295,180300000,408269295
279,"X-Men 2",2003,214949694,191925842,406875536
280,"The Mummy: Tomb of the Dragon Emperor",2008,102491776,303268449,405760225
281,"Kingsman: The Secret Service",2015,128261724,276300000,404561724
282,"Alita: Battle Angel",2019,85512761,317265826,402778587
283,"Prometheus",2012,126477084,275971181,402448265
284,"Twilight",2008,192769854,209510305,402280159
285,"Night at the Museum: Battle of the Smithsonian",2009,177243721,224987342,402231063
286,"Ice Age: Collision Course",2016,64063008,338093674,402156682
287,"Snow White and the Huntsman",2012,155136755,245884991,401021746
288,"Tron: Legacy",2010,172062763,228000000,400062763
289,"Mission: Impossible III",2006,133501348,264000000,397501348
290,"Solo: A Star Wars Story",2018,213767512,179383835,393151347
291,"Mamma Mia: Here We Go Again!",2018,120634935,271824610,392459545
292,"Gone with the Wind",1939,198680470,191844722,390525192
293,"Robin Hood: Prince of Thieves",1991,165493908,225006092,390500000
294,"The Wolf of Wall Street",2013,116900694,272969720,389870414
295,"Grease",1978,181813770,205696409,387510179
296,"Star Trek",2009,257730019,129109595,386839614
297,"The Greatest Showman",2017,174340174,212325376,386665550
298,"Ice Age",2002,176387405,209728938,386116343
299,"Home",2015,177397510,208600386,385997896
300,"Back to the Future",1985,212259762,173265022,385524784
301,"Happy Feet",2006,198000317,187000000,385000317
302,"Slumdog Millionaire",2008,141330703,243199737,384530440
303,"Independence Day: Resurgence",2016,103144286,281025138,384169424
304,"Cars 3",2017,152901115,230648036,383549151
305,"Live Free or Die Hard",2007,134529403,247758744,382288147
306,"Monsters vs. Aliens",2009,198351526,183335854,381687380
307,"Fifty Shades Darker",2017,114434010,266964482,381398492
308,"Hotel Transylvania",2012,148313048,230192764,378505812
309,"Taken 2",2012,139854287,237953117,377807404
310,"Godzilla",1998,136314294,239685706,376000000
311,"G.I. Joe: Retaliation",2013,122523060,253217645,375740705
312,"My Big Fat Greek Wedding",2002,241438208,133451826,374890034
313,"X-Men Origins: Wolverine",2009,179883157,194942603,374825760
314,"Spider-Man: Into The Spider-Verse 3D",2018,190173195,184514881,374688076
315,"What Women Want",2000,182805123,191300000,374105123
316,"Superman Returns",2006,200120000,173965065,374085065
317,"The Adventures of Tintin",2011,77591831,296402120,373993951
318,"Shark Tale",2004,161412000,210505043,371917043
319,"Fifty Shades Freed",2018,100407760,270942859,371350619
320,"Captain America: The First Avenger",2011,176654505,193915271,370569776
321,"Edge of Tomorrow",2014,100206256,270335000,370541256
322,"Mad Max: Fury Road",2015,153636354,216461666,370098020
